start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/516 with read ROI [30700:35700, 16368:20368, 12368:16368] (5000, 4000, 4000) and write ROI [30700:35700, 16368:20368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/527 with read ROI [30700:35700, 20368:24368, 8368:12368] (5000, 4000, 4000) and write ROI [30700:35700, 20368:24368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2384 with read ROI [30700:35700, 24368:28368, 44368:48368] (5000, 4000, 4000) and write ROI [30700:35700, 24368:28368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1237 with read ROI [30700:35700, 28368:32368, 20368:24368] (5000, 4000, 4000) and write ROI [30700:35700, 28368:32368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2135 with read ROI [30700:35700, 32368:36368, 32368:36368] (5000, 4000, 4000) and write ROI [30700:35700, 32368:36368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4186 with read ROI [30700:35700, 36368:40368, 52368:56368] (5000, 4000, 4000) and write ROI [30700:35700, 36368:40368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4637 with read ROI [30700:35700, 40368:44368, 52368:56368] (5000, 4000, 4000) and write ROI [30700:35700, 40368:44368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1507 with read ROI [30700:35700, 48368:52368, 4368:8368] (5000, 4000, 4000) and write ROI [30700:35700, 48368:52368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1967 with read ROI [30700:35700, 52368:56368, 8368:12368] (5000, 4000, 4000) and write ROI [30700:35700, 52368:56368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3141 with read ROI [30700:35700, 56368:60368, 20368:24368] (5000, 4000, 4000) and write ROI [30700:35700, 56368:60368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3891 with read ROI [30700:35700, 60368:63624, 24368:28368] (5000, 3256, 4000) and write ROI [30700:35700, 60368:63624, 24368:28368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1806 with read ROI [35700:40700, 368:4368, 56368:60368] (5000, 4000, 4000) and write ROI [35700:40700, 368:4368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/612 with read ROI [35700:40700, 8368:12368, 20368:24368] (5000, 4000, 4000) and write ROI [35700:40700, 8368:12368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2362 with read ROI [35700:40700, 12368:16368, 52368:56368] (5000, 4000, 4000) and write ROI [35700:40700, 12368:16368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1054 with read ROI [35700:40700, 20368:24368, 20368:24368] (5000, 4000, 4000) and write ROI [35700:40700, 20368:24368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3023 with read ROI [35700:40700, 24368:28368, 48368:52368] (5000, 4000, 4000) and write ROI [35700:40700, 24368:28368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4607 with read ROI [35700:40700, 28368:32368, 60368:63624] (5000, 4000, 3256) and write ROI [35700:40700, 28368:32368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/959 with read ROI [35700:40700, 36368:40368, 368:4368] (5000, 4000, 4000) and write ROI [35700:40700, 36368:40368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3085 with read ROI [35700:40700, 40368:44368, 32368:36368] (5000, 4000, 4000) and write ROI [35700:40700, 40368:44368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1527 with read ROI [35700:40700, 48368:52368, 368:4368] (5000, 4000, 4000) and write ROI [35700:40700, 48368:52368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3142 with read ROI [35700:40700, 52368:56368, 20368:24368] (5000, 4000, 4000) and write ROI [35700:40700, 52368:56368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/7357 with read ROI [35700:40700, 52368:56368, 56368:60368] (5000, 4000, 4000) and write ROI [35700:40700, 52368:56368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/8674 with read ROI [35700:40700, 56368:60368, 60368:63624] (5000, 4000, 3256) and write ROI [35700:40700, 56368:60368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/408 with read ROI [40700:45700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [40700:45700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/508 with read ROI [40700:45700, 4368:8368, 16368:20368] (5000, 4000, 4000) and write ROI [40700:45700, 4368:8368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1032 with read ROI [40700:45700, 8368:12368, 28368:32368] (5000, 4000, 4000) and write ROI [40700:45700, 8368:12368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2374 with read ROI [40700:45700, 12368:16368, 48368:52368] (5000, 4000, 4000) and write ROI [40700:45700, 12368:16368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/554 with read ROI [40700:45700, 20368:24368, 368:4368] (5000, 4000, 4000) and write ROI [40700:45700, 20368:24368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1082 with read ROI [40700:45700, 24368:28368, 12368:16368] (5000, 4000, 4000) and write ROI [40700:45700, 24368:28368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/944 with read ROI [40700:45700, 28368:32368, 4368:8368] (5000, 4000, 4000) and write ROI [40700:45700, 28368:32368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3782 with read ROI [40700:45700, 28368:32368, 48368:52368] (5000, 4000, 4000) and write ROI [40700:45700, 28368:32368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5104 with read ROI [40700:45700, 32368:36368, 56368:60368] (5000, 4000, 4000) and write ROI [40700:45700, 32368:36368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2203 with read ROI [40700:45700, 40368:44368, 16368:20368] (5000, 4000, 4000) and write ROI [40700:45700, 40368:44368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5158 with read ROI [40700:45700, 44368:48368, 44368:48368] (5000, 4000, 4000) and write ROI [40700:45700, 44368:48368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2263 with read ROI [40700:45700, 52368:56368, 4368:8368] (5000, 4000, 4000) and write ROI [40700:45700, 52368:56368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5717 with read ROI [40700:45700, 56368:60368, 36368:40368] (5000, 4000, 4000) and write ROI [40700:45700, 56368:60368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/340 with read ROI [45700:50700, 368:4368, 8368:12368] (5000, 4000, 4000) and write ROI [45700:50700, 368:4368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/284 with read ROI [45700:50700, 4368:8368, 368:4368] (5000, 4000, 4000) and write ROI [45700:50700, 4368:8368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/891 with read ROI [45700:50700, 8368:12368, 20368:24368] (5000, 4000, 4000) and write ROI [45700:50700, 8368:12368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1417 with read ROI [45700:50700, 12368:16368, 28368:32368] (5000, 4000, 4000) and write ROI [45700:50700, 12368:16368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3754 with read ROI [45700:50700, 16368:20368, 56368:60368] (5000, 4000, 4000) and write ROI [45700:50700, 16368:20368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1459 with read ROI [45700:50700, 24368:28368, 16368:20368] (5000, 4000, 4000) and write ROI [45700:50700, 24368:28368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3070 with read ROI [45700:50700, 28368:32368, 36368:40368] (5000, 4000, 4000) and write ROI [45700:50700, 28368:32368, 36368:40368] (5000, 4000, 4000)
